Year,YearCode,Country Name,Country Code,GDP,Pop,olympiccountry,GameType,Year,locCity,locCountry,Rank,Gold,Silver,Bronze,Total,Participant,ParticMedalCheck,TotalAdj,AvgAnnualTemp,NumEvents,NumMedals
1960,YR1960,St. Kitts and Nevis,KNA,12366636,51197,,Summer,1960,Roma,Italy,0,0,0,0,0,0,0,0,,19,301
1960,YR1960,St. Lucia,LCA,,89901,,Summer,1960,Roma,Italy,0,0,0,0,0,0,0,0,,19,301
1960,YR1960,St. Martin (French part),MAF,,4279,,Summer,1960,Roma,Italy,0,0,0,0,0,0,0,0,,19,301
1960,YR1960,St. Vincent and the Grenadines,VCT,13066634,80948,,Summer,1960,Roma,Italy,0,0,0,0,0,0,0,0,26.81999969,19,301
1960,YR1960,Sudan,SDN,1126281325,7527450,Sudan,Summer,1960,Roma,Italy,0,0,0,0,0,1,0,0,26.82433383,19,301
1960,YR1960,Suriname,SUR,93850000,290137,Suriname,Summer,1960,Roma,Italy,0,0,0,0,0,0,0,0,25.76608164,19,301
1960,YR1960,Swaziland,SWZ,35076894,349233,,Summer,1960,Roma,Italy,0,0,0,0,0,0,0,0,20.41380005,19,301
1960,YR1960,Sweden,SWE,14842870293,7484656,Sweden,Summer,1960,Roma,Italy,15,1,2,3,6,1,0,6,1.546350562,19,301
1960,YR1960,Switzerland,CHE,9522746719,5327827,Switzerland,Summer,1960,Roma,Italy,16,0,3,3,6,1,0,6,4.749057397,19,301
1960,YR1960,Syrian Arab Republic,SYR,857704421,4592777,Syria,Summer,1960,Roma,Italy,0,0,0,0,0,0,0,0,17.64578075,19,301
1960,YR1960,Tajikistan,TJK,,2064035,Tajikistan,Summer,1960,Roma,Italy,0,0,0,0,0,0,0,0,3.025248465,19,301
1960,YR1960,Tanzania,TZA,,10074490,Tanzania,Summer,1960,Roma,Italy,0,0,0,0,0,0,0,0,22.30580982,19,301
1960,YR1960,Thailand,THA,2760750920,27362310,Thailand,Summer,1960,Roma,Italy,0,0,0,0,0,1,0,0,26.24988821,19,301
1960,YR1960,Timor-Leste,TMP,,499681,,Summer,1960,Roma,Italy,0,0,0,0,0,0,0,0,,19,301
1960,YR1960,Togo,TGO,121128072,1580513,Togo,Summer,1960,Roma,Italy,0,0,0,0,0,0,0,0,26.79911137,19,301
