"","Year","YearCode","CountryName","CountryCode","GDP","Pop","olympiccountry","GameType","Yearextra","locCity","locCountry","Rank","Gold","Silver","Bronze","Total","Participant","ParticMedalCheck","TotalAdj","AvgAnnualTemp","NumEvents","NumMedals","logPop","logGDP","logGDPperCap","TotalAdjLagBy1","predicted","residuals"
"2630",2008,"YR2008","Estonia","EST",23781539699,1340675,"Estonia","Summer",2008,"Beijing","China",58,1,1,0,2,1,0,2,5.030938424,35,954,14.1086837764403,23.8921754737581,9.78349169731775,3,3,-1.23146993168453
"2844",2012,"YR2012","Estonia","EST",22390242609,1339396,"Estonia","Summer",2012,"London","Great Britain",61,0,1,1,2,1,0,2,5.030938424,32,960,14.1077293240418,23.8318911030946,9.72416177905282,2,2,-0.11840982643463
"1775",1992,"YR1992","Ethiopia","ETH",10413161613,51525658,"Ethiopia","Summer",1992,"Barcelona","Spain",33,1,0,2,3,1,0,3,22.37039295,32,692,17.757590455159,23.0663363826849,5.30874592752587,4,5,-1.75712091790596
"1989",1996,"YR1996","Ethiopia","ETH",8482883273,58815116,"Ethiopia","Summer",1996,"Atlanta","United States",41,2,0,1,3,1,0,3,22.37039295,31,837,17.8899094546607,22.8613162375689,4.97140678290817,3,3,-0.0486835640290298
"2203",2000,"YR2000","Ethiopia","ETH",8098332674,66024199,"Ethiopia","Summer",2000,"Sydney","Australia",27,4,1,3,8,1,0,8,22.37039295,34,918,18.0055318843056,22.8149240347202,4.80939215041463,3,3,4.54103871864612
"2417",2004,"YR2004","Ethiopia","ETH",9954110936,74066147,"Ethiopia","Summer",2004,"Athina","Greece",30,2,3,2,7,1,0,7,22.37039295,34,920,18.1204691302755,23.0212514621871,4.9007823319116,8,8,-0.677888986325242
"2631",2008,"YR2008","Ethiopia","ETH",25608626476,82621190,"Ethiopia","Summer",2008,"Beijing","China",27,4,1,2,7,1,0,7,22.37039295,35,954,18.2297767431213,23.9661951033885,5.73641836026711,7,7,-0.0268898416298869
"2845",2012,"YR2012","Ethiopia","ETH",41605361646,91728849,"Ethiopia","Summer",2012,"London","Great Britain",31,3,1,3,7,1,0,7,22.37039295,32,960,18.3343474897128,24.4514948816297,6.11714739191694,7,7,-0.0173150375574922
"493",1968,"YR1968","Fiji","FJI",166952937,498887,"","Summer",1968,"Ciudad de Mexico","Mexico",0,0,0,0,0,1,0,0,23.37100029,22,363,13.1201348961835,18.9332225162926,5.81308762010913,0,0,0.534580623817195
"707",1972,"YR1972","Fiji","FJI",316650509,542811,"","Summer",1972,"Munchen","West Germany",0,0,0,0,0,1,0,0,23.37100029,25,382,13.2045164720286,19.5733092283784,6.36879275634985,0,0,0.573286945127868
"921",1976,"YR1976","Fiji","FJI",694552425,587522,"","Summer",1976,"Montreal","Canada",0,0,0,0,0,1,0,0,23.37100029,23,343,13.2836689711078,20.3587782032709,7.07510923216303,0,0,1.11710001766142
"1349",1984,"YR1984","Fiji","FJI",1177997414,700394,"","Summer",1984,"Los Angeles","United States",0,0,0,0,0,1,0,0,23.37100029,27,610,13.4593983128237,20.8870817269272,7.42768341410348,0,2,-1.81878199387039
"1563",1988,"YR1988","Fiji","FJI",1109976928,722707,"","Summer",1988,"Seoul","South Korea",0,0,0,0,0,1,0,0,23.37100029,30,444,13.4907591631243,20.827605066469,7.33684590334478,0,0,2.38545427307567
"1777",1992,"YR1992","Fiji","FJI",1531803061,744340,"","Summer",1992,"Barcelona","Spain",0,0,0,0,0,1,0,0,23.37100029,32,692,13.5202531986748,21.1497113497404,7.62945815106566,0,0,-0.393944776467815
